artistId,artistName,artistImg,artistChosen
6M2wZ9GZgrQXHCFfjv46we,"Dua Lipa",https://i.scdn.co/image/ab6761610000e5ebd42a27db3286b58553da8858,0
1Xylc3o4UrD53lo9CvFvVg,"Zara Larsson",https://i.scdn.co/image/ab6761610000e5eba63a2b0ceb57eb509d67c90f,0
0uGk2czvcpWQA383Im6ajf,"Maggie Lindemann",https://i.scdn.co/image/ab6761610000e5ebde4251fdca488fa6b3ddf0af,0
7bKupnlF7XOfR1En3K8oAL,"Go West",https://i.scdn.co/image/9ec4919593b340858d86eb8617b712b7e81545af,0
6LEG9Ld1aLImEFEVHdWNSB,"AP Dhillon",https://i.scdn.co/image/ab6761610000e5eb93cc69405d5040ed28f702f7,0
4zs2Vybqo9ktD8QORpnHfI,"The Basement Boys",,0
3jTU1IOqkO7Mz4zdbXPose,"Stephen Dawes",https://i.scdn.co/image/ab6761610000e5eb12cbc3af4ba384e8a9d39342,0
7z5WFjZAIYejWy0NI5lv4T,"Dan + Shay",https://i.scdn.co/image/ab6761610000e5eb1e6f4e64dc26772155d61ce2,0
2wPsNCwhEGb0KvChZ5DD52,"K. J. Yesudas",https://i.scdn.co/image/ab6761610000e5ebdd746a334ae236bb7a95c1d5,0
68DIbVdYkOrGIb71jr0mL1,"Swapnil Tiwari",https://i.scdn.co/image/ab6761610000e5ebf6fdceac57b8a9a577b63417,0
4BIQA9vRkqXEnA2twmq7mU,"Mario Winans",https://i.scdn.co/image/1d45540168bdcb4c73a6d54cd3c5e62898f67a4f,0
1EKK9k0IAwV1oeJfZITSYo,Madhushree,https://i.scdn.co/image/ab6761610000e5eb953f9dc50ed68470df840269,0
4otJVkrLLqDF8OxFJOigme,"Mavi Gri",https://i.scdn.co/image/ab6761610000e5eba64fa4fcc8b525afa08ae8ef,0
26dSoYclwsYLMAKD3tpOr4,"Britney Spears",https://i.scdn.co/image/ab6761610000e5eb4e7e6ded87a4e0f65b5afcec,0
6ysQi6NI88X627t2srsWz6,"Mott The Hoople",https://i.scdn.co/image/130b5d335ec440db3d2efce781ab3882c87a0781,0
3nqS8jzqmsPKFJTp0BOIel,Ikky,https://i.scdn.co/image/ab6761610000e5ebd9e27321090258d138ad96a7,0
3nlHsNqwCSvT988ZfSW1Yh,"Ronan Keating",https://i.scdn.co/image/ab6761610000e5ebc7538bd3293f5e3b292cf3e4,0
0dhvA4ex79khKjjpo11lGE,Jags,https://i.scdn.co/image/9d05a9b6fe184c305b9e6f819fdf224f71d63528,0
1oMNjZOVmloobqepH8HLc7,"Manhar Udhas",https://i.scdn.co/image/ab6761610000e5ebe71eab869f2c8fac5b7e7cec,0
0WhGV9lzljq2QKJ8ipw6jx,"New York Dolls",https://i.scdn.co/image/169d98992e555699585b68c5fdc8b88bb1ddda8b,0
6kBjAFKyd0he7LiA5GQ3Gz,Aqua,https://i.scdn.co/image/ab6761610000e5ebf6441955eb1e5e770d64a2a1,0
450o9jw6AtiQlQkHCdH6Ru,Funkadelic,https://i.scdn.co/image/dfd7b11d97bc9159e9d085c5fd925b70cd192178,0
2yEkZBBjhzKzt6LF5XMaFi,Blue,https://i.scdn.co/image/ab6761610000e5eb6c13c0d233bbe7b10fbd6238,0
2WzaAvm2bBCf4pEhyuDgCY,"Ruth B.",https://i.scdn.co/image/ab6761610000e5ebc36cd1cebde513411c2e1504,0
3hteYQFiMFbJY7wS0xDymP,Gesaffelstein,https://i.scdn.co/image/ab6761610000e5eb7fa99a739980cf77a38f995b,0
3J9tQvcK0bY3CcVcgRELxH,"Regina Belle",https://i.scdn.co/image/d6c37199205c89b8f3900ba3312478cd75efb970,0
5Y5TRrQiqgUO4S36tzjIRZ,Timbaland,https://i.scdn.co/image/ab6761610000e5eb2ec030557b0529c01639529b,0
6qqNVTkY8uBg9cP3Jd7DAH,"Billie Eilish",https://i.scdn.co/image/ab6761610000e5ebd8b9980db67272cb4d2c3daf,0
4lYtGx5NZQJHsMyhHc5iz3,"The Cramps",https://i.scdn.co/image/fc6b731da9ccf21380f2c32a37a825b8b6e41fc8,0
67MNhiAICFY6Pwc2YxCO0K,"Elley Duhé",https://i.scdn.co/image/ab6761610000e5ebfb7141329e46d7fe05c2d616,0
0LJsq2Wm3kpcUF6qjT4Q39,"Mahbub Islam",https://i.scdn.co/image/ab6761610000e5eb431e414d4be2f9c38c197a99,0
5qPRgWcEOGRzoIST0sHAiI,"Angel Dior",https://i.scdn.co/image/ab6761610000e5eba57a170ea9980a5559271234,0
6axmSYB8DrinCtOpP8BTU8,"Mentaliter Insani",https://i.scdn.co/image/ab6761610000e5ebaab2a598e1e9935d7bc228a8,0
2LRoIwlKmHjgvigdNGBHNo,Feid,https://i.scdn.co/image/ab6761610000e5eb9649d1e475a1298d2fa52a3d,0
3q7HBObVc0L8jNeTe5Gofh,"50 Cent",https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2,0
36QJpDe2go2KgaRleHCDTp,"Led Zeppelin",https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e,0
5FU1KYJheed7LZIM2r6KrE,dkj,https://i.scdn.co/image/ab6761610000e5ebb8424caf8e485daca86365b0,0
4nJ0kto93jDLHQKmpGeYS8,"Anvita Dutt",,0
1HnV8VaGdip3y1SpJPgft0,Panther,https://i.scdn.co/image/ab6761610000e5ebf9ed718456ef98ffa83ade36,0
