songID,songName,artistId,popularity,track_href
7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,5f7VJjfbwm532GiveGC0ZK,66,https://api.spotify.com/v1/tracks/7h0d2h0fUmzbs7zeFigJPn
7wBJfHzpfI3032CSD7CE2m,STARGAZING,0Y5tJX1MQlPlqiwlOH1tJY,74,https://api.spotify.com/v1/tracks/7wBJfHzpfI3032CSD7CE2m
4HcqUkRTvrRAiFVjeOS3w4,Sensitive (feat. Scott Hoying),6JL8zeS1NmiOftqZTRgdTz,61,https://api.spotify.com/v1/tracks/4HcqUkRTvrRAiFVjeOS3w4
4HcqUkRTvrRAiFVjeOS3w4,Sensitive (feat. Scott Hoying),72Q6lRKiVLErS4QjuZxsDG,61,https://api.spotify.com/v1/tracks/4HcqUkRTvrRAiFVjeOS3w4
1OU23qImez15IbLNfmaf69,Sensitive (feat. Scott Hoying),6JL8zeS1NmiOftqZTRgdTz,42,https://api.spotify.com/v1/tracks/1OU23qImez15IbLNfmaf69
1OU23qImez15IbLNfmaf69,Sensitive (feat. Scott Hoying),72Q6lRKiVLErS4QjuZxsDG,42,https://api.spotify.com/v1/tracks/1OU23qImez15IbLNfmaf69
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,3TVXtAsR1Inumwj472S9r4,91,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,1URnnhqYAYcrqrcwql10ft,91,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N
7uWIJXsugQIMaxcYXMxeZV,Rich Flex,3TVXtAsR1Inumwj472S9r4,72,https://api.spotify.com/v1/tracks/7uWIJXsugQIMaxcYXMxeZV
7uWIJXsugQIMaxcYXMxeZV,Rich Flex,1URnnhqYAYcrqrcwql10ft,72,https://api.spotify.com/v1/tracks/7uWIJXsugQIMaxcYXMxeZV
4OmfWzukSVD140NiAIEjem,Static,57vWImR43h4CaDao012Ofp,86,https://api.spotify.com/v1/tracks/4OmfWzukSVD140NiAIEjem
7ru8cuW1DyDbcOojKN3NlC,Static,57vWImR43h4CaDao012Ofp,48,https://api.spotify.com/v1/tracks/7ru8cuW1DyDbcOojKN3NlC
